Species,F.SDF,F.SSDF,F.SF,F.IF,F.PR,F.SL,F.GR,F.PA,F.SC,F.PH,EP.EF,EP.I,EP.EZ,EP.D,EP.P,AM.SW,AM.CR,AM.BU,AM.SE,DT.C,DT.H,DT.D,DT.PH,LD.D,LD.L,LD.P,SD.G,SD.HSEQ,SD.HSYN,AL,MA,FEC,MSG,ADP
Ciona.intestinalis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,1,0,0,0,1,2,1,4,3,1
Conger.conger,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,4,5,6,6,6
Corella.parallelogramma,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,2,1,4,2,1
Corynactis.viridis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,0.5,0,0.5,6,2,2,1,1
Corystes.cassivelaunus,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,1,1,0,0,3,2,6,2,3
Crepidula.fornicata,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.25,0.25,0.5,0,0,0,1,0,1,0,3,1,4,2,3
Ctenolabrus.rupestris,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,4,5,3,6
Dendrodoa.grossularia,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,1,0,0,0,0,1,2,1,3,2,1
Diazona.violacea,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,3,2,1
Doris.pseudoargus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1
Dysidea.fragilis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,1,0,0,0,1,3,2,3,3,1
Ebalia.granulosa,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,1,1,0,0,2,1,4,2,4
Echinus.esculentus,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,3,2,6,3,5
Eunicella.verrucosa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,1,0,1,0,0,6,3,4,4,1
Eutrigla.gurnardus,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,5,5,6
Flustridae,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,0,1,0,0,1,3,1,4,3,1
Gadus.morhua,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,6,5,6,6,6
Gaidropsarus.spp.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,3,2,5,4,4
Galathea.dispersa,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.5,0,0,1,0,1,0,0,3,1,3,2,4
Gobiidae.spp,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,4,2,5
Goneplax.rhomboides,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,2,1,3,2,3
Grouped.gobies,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,1,0,0,0,0,1,0,1,0,0,2,1,4,2,5
Gymnangium.montagui,0,0,0.75,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,2,1,3,3,1
Homarus.gammarus,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,5,5,5,4,6
Hyas.coarctatus,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,2,1,3,2,3
Hydroids,0,0,0.75,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,2,1,3,3,1
Inachus.spp.,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,2,1,3,2,3
Janolus.cristatus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1
Labrus.bergylta,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,6,5,5,4,6
Labrus.mixtus,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,5,4,5,4,6
Lanice.conchilega,0.25,0.25,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,0,0,0.5,0.5,1,0,0,3,1,5,4,4
Lepadogaster.spp.,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,3,2,4,2,2
Limanda.limanda,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,4,5,4,6
Liocarcinus.depurator,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0,1,1,0,0,3,2,5,2,5
Lipophrys.pholis,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,1,0,0,3,2,4,3,4
Loligo.spp.,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,3,4,5,6
Luidia.ciliaris,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,2,6,4,5
Macropodia.spp.,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,3,1,4,2,3
Maja.squinado,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0,0,3,2,5,3,6
Massive.sponges,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0,0,1,0,0,0,1,3,1,3,3,1
Merlangius.merlangus,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,1,3,5,6
Metridium.dianthus,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,5,2,2,4,2
Microstomus.kitt,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,4,5,5,6
Molva.molva,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,6,4,6,6,6
Mullus.surmuletus,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,3,5,4,6
